Country,TechValueAdded,RDExp,IndDesign,UtModel,Trademark,Patent,HighTechExp,UNCTADclass,PaymentsIPr,PaymentsIPp,FDI,Researchers
Angola,3,0,46,0,5180,80,77204455,least developed country,0,222726990,-6598652652,0
Albania,6,0,152,1,3191,21,886411,developed economy,13222817,31727567,1441381891,0
United Arab Emirates,41,2,902,9,32235,2848,32113488119,developing economy,0,0,22736555480,2666
Argentina,29,1,2230,200,88838,3576,663679612,developing economy,204704857,1761243242,15408346794,1284
Armenia,8,0,164,84,5535,34,476798137,developing economy,0,0,998055425,0
Australia,31,0,7860,262,76646,32284,7759351128,developed economy,1273308022,4145505611,70084936395,0
Austria,45,3,370,344,7068,1887,26998954256,developed economy,1680848564,1849911178,10114413567,6342
Azerbaijan,13,0,184,27,7189,213,49457683,developing economy,3384000,198087000,-4474481000,1729
Belgium,53,3,,0,0,1207,65782548564,developed economy,4076074550,3531671697,12484998787,6582
Bangladesh,8,0,1296,0,13687,418,0,least developed country,3758746,49515537,1634888030,0
Bulgaria,32,1,143,214,4460,171,2248380615,developed economy,291840000,266370000,3216630000,2339
Bahrain,25,0,88,0,7425,489,18152069,developing economy,0,0,1951329787,0
Bosnia and Herzegovina,19,0,196,0,3444,51,342055996,developed economy,6635653,15733082,797783245,443
Belarus,38,1,271,312,6056,342,856741805,developed economy,123842510,248656400,1613025743,1394
Belize,18,0,,0,934,32,17,developing economy,0,12679940,140907968,0
Bolivia,12,0,89,10,8558,226,35257665,developing economy,1672885,25194145,2849849,0
Brazil,31,1,7196,2276,386805,24759,7651750559,developing economy,745138505,7299729724,74606361830,0
Brunei Darussalam,3,0,,0,1709,155,28422229,developing economy,0,6142326,-292416275,0
Botswana,29,0,,0,1738,13,38743818,developing economy,529483,117601953,216459291,0
Canada,35,2,6845,0,70583,38052,303335008047,developed economy,7736160394,16084368733,49984660122,5076
Switzerland,68,3,2614,0,33922,1546,77973722315,developed economy,30778890909,32067022348,-10988929764,6023
Chile,20,0,506,115,42311,3136,1270023182,developing economy,65404498,1324660664,20864902958,519
China,41,2,796211,2950653,29432,1619268,769699283036,developing economy,13304772071,44474106058,180166881345,1687
Colombia,25,0,925,182,44948,3032,883404294,developing economy,162054821,1597592103,17182521350,0
Cabo Verde,27,0,1,0,508,3,20796,developing economy,29645,1211734,121843588,0
Costa Rica,14,0,64,5,11391,586,1921488086,developing economy,7259198,743019289,3673404329,399
Cuba,16,1,,0,2296,0,0,developing economy,0,0,0,0
Cyprus,30,1,16,0,1571,7,93589529,developed economy,570863869,273025424,480194908,1743
Czechia,51,2,158,1095,7500,551,45217937911,developed economy,828135059,1633672402,10529730879,4569
Germany,61,3,4017,9469,77150,57213,223370841889,developed economy,53303007589,19844477984,47374917273,5536
Denmark,57,3,143,85,3199,1227,14326669683,developed economy,6395685614,1872194645,34212739240,7708
Algeria,3,0,385,0,12165,1118,0,developing economy,468636,122677214,75640098,0
Ecuador,13,0,164,23,22076,509,124665033,developing economy,26146903,247619679,845052804,0
Egypt,23,1,2244,0,34650,1914,638950944,developing economy,156300000,395400000,11399900000,822
Spain,40,1,1264,2635,47509,1318,32851519783,developed economy,4517637599,5829246356,51425057274,3252
Estonia,29,2,1264,43,1789,15,2285853223,developed economy,71150473,64478983,1646928488,4038
Ethiopia,16,0,66,233,2752,64,9014081,least developed country,344402,3241504,3669991332,0
Finland,46,3,113,235,3531,1447,4490473203,developed economy,3198920285,990037062,13363660492,7871
France,52,2,5572,696,101848,14746,95753974734,developed economy,14126390161,13407741811,105424958014,5175
United Kingdom,45,3,17666,0,156741,19485,72663086859,developed economy,28025385391,17784154307,44897919401,0
Georgia,14,0,181,36,4507,241,39449988,developing economy,7366648,82044767,2131439388,1717
Ghana,11,0,768,17,3503,21,0,developing economy,21613385,249876004,1510872058,0
Gambia,4,0,6,1,945,88,20,least developed country,0,0,231488000,0
Greece,26,2,131,18,6853,1085,2818932039,developed economy,87274705,279990878,7947989003,4326
Guatemala,22,0,56,5,12851,289,368666406,developing economy,17271210,406731240,1386717660,15
